episode,score,epsilon,avg_loss
0,0,0.9975,0.0
1,0,0.995,0.0
2,0,0.9925,0.0
3,0,0.99,0.0
4,0,0.9875,0.0
5,0,0.985,0.0
6,0,0.9825,0.0
7,0,0.98,0.0
8,0,0.9775,0.0
9,0,0.975,0.0
10,0,0.9725,0.0
11,0,0.97,0.0
12,1,0.9675,0.0
13,0,0.965,0.0
14,0,0.9625,0.0
15,0,0.96,0.0
16,0,0.9575,0.0
17,0,0.955,0.0
18,0,0.9525,0.3916134139895439
19,0,0.95,0.18233759701251984
20,0,0.9475,0.12452104694026263
21,1,0.945,0.08150127090306745
22,0,0.9425,0.06589593468828404
23,0,0.94,0.03065211536326947
24,1,0.9375,0.025719395888570164
25,0,0.935,0.02535939932397801
26,0,0.9325,0.02120149546923737
27,0,0.9299999999999999,0.02007985256580908
28,1,0.9275,0.019521808956357602
29,0,0.925,0.03154536422241379
30,1,0.9225,0.029181722525226057
31,0,0.92,0.02147905608639121
32,0,0.9175,0.026835195658789886
33,2,0.915,0.0317979215818923
34,0,0.9125,0.035025168479861396
35,0,0.91,0.027853838381512713
36,1,0.9075,0.04742642940192293
37,0,0.905,0.04604641265986073
38,0,0.9025,0.04921431434784262
39,0,0.9,0.0443260348183685
40,0,0.8975,0.043607724304483446
41,1,0.895,0.046553116795435855
42,0,0.8925,0.04151153708756952
43,1,0.89,0.04984889175651259
44,0,0.8875,0.04346592589281499
45,1,0.885,0.05919085073296026
46,0,0.8825000000000001,0.053351021708092757
47,0,0.88,0.05265949403819365
48,0,0.8775,0.051064391198001574
49,0,0.875,0.046395985438721254
50,0,0.8725,0.04671207842904897
51,0,0.87,0.04383907009226581
52,0,0.8674999999999999,0.03226420380683108
53,0,0.865,0.04965597450212445
54,0,0.8625,0.032295745628123936
55,1,0.86,0.05014635245923115
56,0,0.8575,0.055645583099440524
57,1,0.855,0.06090036669263133
58,0,0.8525,0.059581100135036404
59,0,0.85,0.0440849306156175
60,0,0.8475,0.054903395896209246
61,1,0.845,0.059737315786809755
62,2,0.8425,0.04589326122813687
63,0,0.84,0.06245862010796115
64,0,0.8375,0.07083684817338601
65,1,0.835,0.05965907557000374
66,0,0.8325,0.06370985298047936
67,1,0.83,0.07469912905002102
68,1,0.8275,0.07187345506329286
69,1,0.825,0.06708883483240262
70,1,0.8225,0.09289628163807923
71,1,0.8200000000000001,0.06830558680543085
72,1,0.8175,0.0687871470370076
73,1,0.815,0.06896536864805966
74,1,0.8125,0.07955566998571158
75,1,0.81,0.06162627485509102
76,1,0.8075,0.09331524906860243
77,2,0.8049999999999999,0.09561572432881449
78,1,0.8025,0.09712422548502844
79,0,0.8,0.11239274173248105
80,1,0.7975,0.09353760024532676
81,0,0.795,0.09681126841089942
82,0,0.7925,0.10651282680795547
83,0,0.79,0.1058371950354841
84,1,0.7875,0.10661469722215675
85,1,0.785,0.10058021398909976
86,0,0.7825,0.1327131741533154
87,0,0.78,0.07538279797881842
88,1,0.7775,0.08452545282327467
89,1,0.775,0.11117583253618443
90,1,0.7725,0.08840731658825748
91,0,0.77,0.11059293574862071
92,1,0.7675,0.12276037553684753
93,0,0.765,0.11205466208048165
94,1,0.7625,0.10943536963817235
95,1,0.76,0.13855739186207452
96,1,0.7575000000000001,0.11455594098158911
97,1,0.755,0.12946368660777807
98,1,0.7525,0.1460536007295575
99,1,0.75,0.12924009966461555
100,1,0.7475,0.13172186229457247
101,3,0.745,0.1408784668892622
102,0,0.7424999999999999,0.15271508598493205
103,1,0.74,0.13560074335842762
104,2,0.7375,0.13519929344879417
105,1,0.735,0.14907142178465924
106,1,0.7324999999999999,0.1630308644412315
107,1,0.73,0.16038721920021118
108,1,0.7275,0.13966332993741276
109,1,0.725,0.15041741613637316
110,1,0.7224999999999999,0.13453936860896648
111,0,0.72,0.15846701162426094
112,3,0.7175,0.15725264466694883
113,0,0.7150000000000001,0.16146699306555093
114,1,0.7125,0.1750432916957399
115,1,0.71,0.15891715609713605
116,2,0.7075,0.1543100173652604
117,1,0.7050000000000001,0.15409295055034913
118,0,0.7025,0.17122466218742458
119,1,0.7,0.1683851600757667
120,2,0.6975,0.1564985148778016
121,1,0.6950000000000001,0.15852341785406074
122,2,0.6925,0.16773826719784155
123,2,0.69,0.1510893924161792
124,1,0.6875,0.13447472096110383
125,1,0.685,0.16288330871611834
126,0,0.6825,0.1403725566342473
127,1,0.6799999999999999,0.1388133541913703
128,2,0.6775,0.16879961212786534
129,0,0.675,0.1637109373178747
130,1,0.6725,0.15474966806458665
131,1,0.6699999999999999,0.15724245763637804
132,0,0.6675,0.1495610692284324
133,0,0.665,0.1690203125278155
134,0,0.6625,0.15895912462535003
135,1,0.6599999999999999,0.1326603791431377
136,0,0.6575,0.16236088167016322
137,0,0.655,0.15712569115890396
138,1,0.6525000000000001,0.13465854051438245
139,1,0.65,0.159774586378086
140,1,0.6475,0.18138084226311782
141,1,0.645,0.16904983073472976
142,1,0.6425000000000001,0.14167421038907307
143,0,0.64,0.1398079932667315
144,2,0.6375,0.15553804385391148
145,2,0.635,0.14907375257462263
146,1,0.6325000000000001,0.15284577341273772
147,1,0.63,0.13857340767722706
148,1,0.6275,0.14565517040542686
149,1,0.625,0.13818742193885752
150,1,0.6225,0.1415846820368811
151,1,0.62,0.1599486363120377
152,1,0.6174999999999999,0.15307686990126967
153,2,0.615,0.14274053331664813
154,0,0.6125,0.13581947088241578
155,1,0.61,0.14404067699797451
156,0,0.6074999999999999,0.1443604942713235
157,2,0.605,0.15204829464738184
158,2,0.6025,0.15246204381639308
159,1,0.6,0.16039179612628437
160,1,0.5974999999999999,0.17010672848958236
161,0,0.595,0.16258208465296775
162,2,0.5925,0.14653980199779784
163,4,0.5900000000000001,0.14200931888100873
164,0,0.5875,0.1394863800907677
165,3,0.585,0.15674590913667566
166,2,0.5825,0.17300615191459656
167,1,0.5800000000000001,0.18041968354955315
168,0,0.5775,0.146865828256858
169,2,0.575,0.15110820780197778
170,2,0.5725,0.15021227532119122
171,2,0.5700000000000001,0.14447075544401658
172,2,0.5675,0.14638170593285135
173,1,0.565,0.1601509643452508
174,1,0.5625,0.15049817578660118
175,1,0.56,0.16073130518198014
176,1,0.5575,0.17639009538909484
177,2,0.5549999999999999,0.15048168820363503
178,2,0.5525,0.1697657354656727
179,1,0.55,0.18332750382630722
180,1,0.5475,0.177713540909083
181,2,0.5449999999999999,0.16333423191920304
182,1,0.5425,0.1514534027699162
183,3,0.54,0.19301091281410593
184,4,0.5375,0.16292937258456616
185,1,0.5349999999999999,0.19243632592260837
186,2,0.5325,0.19099939665917692
187,0,0.53,0.21885011138187516
188,1,0.5275000000000001,0.17287729018264347
189,1,0.525,0.17179253476637382
190,1,0.5225,0.21936822522963798
191,1,0.52,0.19463529917648284
192,0,0.5175000000000001,0.1762492033066573
193,2,0.515,0.18235639466179743
194,0,0.5125,0.20354681015014647
195,1,0.51,0.1756924613443918
196,1,0.5075000000000001,0.19102206163936192
197,1,0.505,0.21360578131059121
198,1,0.5025,0.20657336134083418
199,1,0.5,0.206118092579501
200,0,0.49750000000000005,0.19986684584901446
201,1,0.495,0.24959131436688559
202,1,0.49250000000000005,0.17863530718854495
203,1,0.49,0.16199436652309754
204,1,0.48750000000000004,0.15907493429748634
205,1,0.485,0.17494069457054137
206,1,0.48250000000000004,0.22067614609286898
207,2,0.48,0.2115761353888295
208,0,0.47750000000000004,0.20186553840283994
209,2,0.475,0.19699943131383726
210,2,0.47250000000000003,0.20458252908605518
211,3,0.47,0.20686361629595149
212,2,0.4675,0.2067096266200987
213,1,0.46499999999999997,0.21077872967968383
214,1,0.4625,0.18088597602940895
215,1,0.45999999999999996,0.1976617584851655
216,1,0.4575,0.2022116762296907
217,2,0.45499999999999996,0.18366331743950748
218,3,0.4525,0.21302297723198693
219,1,0.44999999999999996,0.2696676680019924
220,10,0.4475,0.2141082177094638
221,2,0.44499999999999995,0.1986771121621132
222,2,0.4425,0.2441045394757899
223,1,0.43999999999999995,0.22368770994638143
224,0,0.4375,0.25674792875846225
225,1,0.43500000000000005,0.23195532482603323
226,1,0.4325,0.20870422285336715
227,5,0.43000000000000005,0.21192229732871057
228,1,0.4275,0.24708869485628038
229,1,0.42500000000000004,0.1908698148197598
230,3,0.4225,0.21756366834248583
231,4,0.42000000000000004,0.23136091095880723
232,1,0.4175,0.27719670024357346
233,0,0.41500000000000004,0.23558125159014826
234,6,0.4125,0.22671251388591365
235,1,0.41000000000000003,0.23956517794647733
236,3,0.4075,0.22578133407693643
237,2,0.405,0.21604310047058833
238,2,0.40249999999999997,0.23994998385508856
239,0,0.4,0.26696863841442836
240,1,0.39749999999999996,0.2730768738791
241,1,0.395,0.23649865025004677
242,1,0.39249999999999996,0.2680993870432888
243,1,0.39,0.26361400745809077
244,2,0.38749999999999996,0.26436536278455486
245,3,0.385,0.23466835815017506
246,2,0.38249999999999995,0.2066897618273894
247,1,0.38,0.22163093369454145
248,1,0.37749999999999995,0.2370877599136697
249,1,0.375,0.2656779898596661
250,2,0.37250000000000005,0.23997568945552028
251,1,0.37,0.25513372838985726
252,1,0.36750000000000005,0.22848949912521574
253,1,0.365,0.2647982619702816
254,1,0.36250000000000004,0.2155194204104574
255,3,0.36,0.25784460596136144
256,4,0.35750000000000004,0.2549443815633194
257,1,0.355,0.31420085281133653
258,1,0.35250000000000004,0.23736711927959997
259,4,0.35,0.2115456612804268
260,5,0.34750000000000003,0.25099409235195375
261,1,0.345,0.2694703459274024
262,1,0.3425,0.2595922368414262
263,3,0.33999999999999997,0.2365226914936846
264,5,0.3375,0.24733421946725537
265,2,0.33499999999999996,0.24281136473504508
266,1,0.3325,0.2672157030681084
267,1,0.32999999999999996,0.17493323609232903
268,1,0.3275,0.2534300617873669
